"Trade_Balance","D_Exchange_Rate","D_Forex_Reserves"
-41672.7244,0.440000000000005,45180
-71158.6891,0.629999999999995,60450
-71345.9417,0.575000000000003,45570
-65769.6689,-0.222000000000001,64760
-71603.8796,0.321899999999999,38380
-83303.7181,0.250499999999995,-3930
-80683.4847,2.30080000000001,5670
-67317.8857,-0.564400000000006,55730
-63055.6319,-0.518699999999995,-15190
-68335.2477,1.5917,12410
-76605.7134,-0.488800000000012,37520
-51565.7357,1.441,-32630
-44854.3854,0.849000000000004,55020
-29479.8409,-2.2831,-13880
-32076.221,0.184700000000007,25910
-39335.8224,0.685400000000001,23110
-55596.8601,0.413600000000002,32060
-51164.9935,-0.48360000000001,5190
-51584.41,-0.151699999999991,-3800
-60540.5084,-0.321700000000007,14210
-74320.0764,0.121800000000007,-1260
-90588.7321,1.74459999999999,5360
-71607.7076,-0.571299999999994,35260
-67432.4293,-0.142200000000003,-46790
-63867.4694,-1.075,7390
-70126.5832,-1.8989,-15030
-91958.9759,-0.195599999999999,-55150
-92331.74,-0.0970999999999975,39030
-90493.2671,0.191999999999993,39760
-76846.9567,-0.660600000000002,45360
-81339.064,-0.0618999999999943,6400
-60545.9154,1.3398,39860
-95101.5594,-0.580699999999993,53960
-97926.5163,-0.341300000000004,-26040
-91212.6771,-0.592399999999998,14560
-97322.8753,-0.152999999999999,17300
-76222.1239,1.41529999999999,95630
-88650.9179,-0.0589999999999975,41230
-92005.5973,0.151499999999999,17130
-101122.0358,2.25700000000001,35580
-119644.7245,1.12269999999999,-27200
-128002.1589,0.0315000000000083,23950
-124646.7312,2.31869999999999,-24450
-107987.9813,1.3045,98430
-132567.1261,1.7636,69260
-126345.7043,-4.33620000000001,-70310
-102508.6419,0.134900000000002,-89440
-106437.7747,1.241,-9420
-69292.0548,0.162000000000006,78860
-76185.0814,-2.2423,5950
-113511.0543,0.883799999999994,11260
-117453.5642,-0.0309999999999917,38300
-111137.9955,-1.92880000000001,34980
-97700.9401,0.979900000000001,10680
-98637.4375,2.90170000000001,33989.27
-83325.5433,-1.0736,96568.8100000001
-83641.6216,0.124499999999998,28129.3399999999
-91306.3647,0.915999999999997,55424.4100000001
-88976.8943,-0.451499999999996,73631.5800000001
-109082.9572,0.235600000000005,76225.2399999998
-72644.5292,0.679899999999989,67031.7000000002
-74203.8531,3.19640000000001,214304.59
-52698.57785,-0.270900000000012,14640.6499999999
-27338.3782,-0.239499999999992,5198.13000000035
-5373.59209999998,0.651499999999999,179739.37
-39998.9094,-0.754800000000003,38984.0800000001
-61266.2046,-1.1771,201660.41
-21745.4816,0.202699999999993,-68459.5700000003
-67239.3302,0.17540000000001,26642.2800000003
-75647.3811,-0.0323000000000064,227982.41
-115676.2692,-0.887299999999996,56538.5699999994
-105948.6286,-0.147000000000006,1614.3900000006
-95423.07,0.689300000000003,-18250.9100000001
-99305.8403,-0.0912000000000006,-22059.4100000001
-113894.0435539,0.518500000000003,-18550.5199999996
-47885.2859109,-1.5021,115228.02
-70654.7187424,1.8245,83675.5300000003
-79253.1805711,0.0414999999999992,142337.99
-86885.974927,-1.23350000000001,50799.0699999994
-165310.2831963,1.1015,80627.4300000006
-134177.1921801,0.673199999999994,33186.7199999997
-158156.2133001,0.160200000000003,48074.54
-158731.2607676,-0.786000000000001,4809.64999999944
-129035.3136025,0.664900000000003,-74493.9199999999
-140588.8162557,0.520800000000008,17739
-141180.813289,0.318899999999999,92193.2600000007
-139840.4761577,0.617099999999994,-219787.640000001
-171052.1246316,1.23990000000001,-10170.8799999999
-172335.9189017,1.27799999999999,82358.9699999997
-202471.3669107,0.227900000000005,-20987.8099999996
-197784.9456887,0.549399999999991,-101089.6
-224498.5665102,1.83280000000001,-128956.470000001
-216626.1420093,0.841200000000001,-26722.79
-180509.2399609,-0.796400000000006,-16801.2699999996
-190774.3616891,1.1892,193047.23
-139450.4605488,-1.0475,82453.4700000007
-136864.1239589,0.942900000000009,62951.3499999996
-156043.6684236,-0.464700000000008,-97737.4900000002
-118414.8948836,-0.478899999999996,178406.800000001
-185477.6455926,0.939300000000003,86480.8199999994
-157789.7739525,-0.634500000000003,21551.8200000003
-156056.0170002,0.205299999999994,36369.0899999999
-198795.647004,0.430300000000003,48665.29
-166734.8590378,0.379600000000011,-28770.8899999997
-253274.3156466,0.211199999999991,-85596.3300000001
-177559.957547,0.0807999999999964,52496.7699999996
-156234.842112,-0.101399999999998,111015.25
-137587.944981,-0.168099999999995,102226.57
-161892.43,-0.155900000000003,28252.8899999997
-127271.7696079,0.458500000000001,25196.7200000007
-160023.3752558,0.135599999999997,214431.34
-183812.3688612,-0.219899999999996,-48334.9400000004
-173870.2357469,0.0652999999999935,115207.68
-207054.7888367,0.379900000000006,18339.5920000002
-285357.0761614,0.126900000000006,165669.715
-204430.9049747,-0.0821000000000112,133057.593
-219301.2363335,0.299800000000005,102313.186
-269706.8680383,0.408500000000004,-151913.146
-175724.2655194,1.12609999999999,-189751.87
-198759.8198982,1.01820000000001,-102530.216
-122320.5,0.759199999999993,137092.967
