"idx","trade_diff","fxres_diff","exrate_diff"
"1",-3479.6354491801,32086.3810138889,0.165111574074082
"2",-30979.4917638635,66728.0474398145,1.13546898148148
"3",4229.58874362874,59625.2684537037,0.574135648148143
"4",9630.16521071942,65695.1182685187,-0.389686111111111
"5",-9409.70925613381,6645.26504629618,0.161512500000008
"6",-890.219970424427,-8955.696627778,0.473172407407404
"7",16172.3654387475,-3559.83718749974,1.90703166666667
"8",1522.76210048945,77920.4512226856,-0.899901759259265
"9",21591.4796784125,5014.01861111075,-0.645131481481471
"10",-12195.2799471713,9962.45861111116,1.88817731481481
"11",-10851.1915826449,18421.7301851856,-0.0222009259259295
"12",11942.0175974204,-15663.2050370374,1.40931018518518
"13",-3944.14724918008,41926.3810138889,0.574111574074081
"14",13881.0174361366,-7601.95256018545,-1.77763101851852
"15",1820.46124362871,39965.2684537037,0.183835648148147
"16",-3205.70898928058,24045.1182685187,0.517713888888892
"17",-19836.5362561338,325.265046296176,0.253212500000004
"18",15241.4851295755,164.303372221999,-0.260927592592594
"19",13132.7155387476,-13029.8371874997,-0.545468333333332
"20",-20798.9352995106,36400.4512226856,-0.657201759259266
"21",3549.65787841253,18944.0186111107,-0.00463148148146786
"22",-23184.3198471713,2912.45861111116,2.0410773148148
"23",16400.2986173551,16161.7301851856,-0.104700925925911
"24",-8922.6818025796,-29823.2050370374,-0.173889814814828
"25",-7090.53764918011,-5703.61898611113,-1.34988842592593
"26",-7752.64086386346,-8751.95256018545,-1.39343101851851
"27",-17415.5513563713,-41094.7315462963,-0.196464351851859
"28",3681.12831071945,39965.1182685187,-0.264786111111107
"29",-1737.02565613379,8025.26504629618,0.0316124999999943
"30",24455.9289295755,40334.303372222,-0.437927592592587
"31",9060.02473874751,-2829.83718749974,-0.455668333333328
"32",8950.31170048944,62050.4512226856,1.00429824074073
"33",-17226.4181215875,74164.0186111107,-0.707131481481468
"34",-9740.62104717128,-28487.5413888888,-0.0448226851851956
"35",4133.11331735505,-4538.26981481444,-0.125800925925915
"36",-19208.1583025796,34266.7949629626,-0.184689814814824
"37",10445.2538508199,82536.3810138889,1.14041157407407
"38",-13922.3210638634,47508.0474398145,0.446468981481488
"39",1062.1619436287,31185.2684537037,0.150635648148139
"40",-5062.54608928054,36515.1182685187,2.0893138888889
"41",-22098.1872561338,-58934.7349537038,0.962312499999996
"42",2452.18412957556,18924.303372222,0.254172407407424
"43",16907.5597387475,-33679.8371874997,1.92493166666665
"44",4815.91300048945,120620.451222686,0.968998240740746
"45",-7249.91892158754,89464.0186111107,1.63716851851852
"46",-694.242347171254,-72757.5413888888,-4.0397226851852
"47",21256.3365173551,-108538.269814814,0.601499074074084
"48",-17027.0929025796,7546.79496296262,1.20931018518517
"49",26490.2223508199,65766.3810138889,-0.112888425925917
"50",-8386.55366386345,12228.0474398145,-1.73683101851852
"51",-32909.1315563713,25315.2684537037,0.882935648148134
"52",111.382510719384,39235.1182685187,-0.198686111111101
"53",2740.07014386625,3245.26504629618,-2.08918750000001
"54",24246.6739295756,5654.303372222,1.20257240740742
"55",12615.6346387475,24759.4328125003,2.50793166666666
"56",3469.05730048941,118759.261222686,-1.40910175925926
"57",17013.1475784125,48333.3586111106,-0.0019314814814777
"58",-14580.4072471713,52976.8686111113,1.21247731481481
"59",-251.25548264492,54533.3101851856,0.0150990740740866
"60",-33204.0230025797,93192.0349629624,0.20391018518518
"61",25782.9304508199,53938.0810138891,0.405011574074067
"62",-3052.85096386343,220582.637439814,3.7018689814815
"63",25922.1165936287,28695.9184537036,-0.271764351851871
"64",29414.0920607195,6133.24826851906,-0.407186111111102
"65",29136.4717438662,148004.635046296,0.4911125
"66",-34562.8829704244,33958.3833722221,-0.532127592592587
"67",-7715.16316125247,192430.5728125,-1.57086833333334
"68",27677.8861004894,-46269.1187773147,-0.132801759259266
"69",-28164.6227215875,46846.298611111,0.0489685185185351
"70",-15323.7150471713,225534.868611111,0.264177314814802
"71",-42609.6139826449,37440.3001851849,-0.420700925925914
"72",-3370.3195025796,18581.1849629637,-0.178689814814831
"73",-129.938949180112,-31344.5289861113,0.41441157407408
"74",-5376.29736386341,-15781.3625601856,0.414268981481484
