,0
4,0.11999779165636665
5,0.03432669582823712
6,-0.06844019392519851
7,0.04719162477379127
8,-0.07535568524342742
9,-0.12091469550608791
10,0.12183745620499783
11,-0.43326362126520546
12,0.02641427984428374
13,-0.4347878871214517
14,-0.0710846070480101
15,-0.024879905974998368
16,0.15849039148537222
17,0.16034195005803303
18,0.11513921237937605
19,0.1143891319148086
20,0.0785401428204508
21,0.008029485055824431
22,-0.052528546950562
23,0.034769755724237475
24,0.034679486020642705
25,0.02184906178467934
26,-0.05598465804165448
27,-0.07178541162370661
28,-0.12139062890633244
29,-0.29951382086530814
30,-0.03358547232468844
31,-0.4800826453637511
32,0.38498333943185437
33,-0.16884295500315077
34,0.1346433187089336
35,0.04638470704062493
36,-0.41106192513105577
37,0.042854391011429946
38,0.021941711029979376
39,0.2359038342576935
40,0.15345995663294842
41,0.3661795640949013
42,0.2247511859789855
43,0.021519662044205023
44,0.35811402889135957
45,0.12268915714852044
46,-0.10662343452328558
47,-0.15588866904765733
48,-0.8357588546610732
49,0.05372735810582946
50,0.2825917749118084
51,0.11685918710654065
52,-0.03716543577037381
53,-0.2924369912249911
54,-0.3227151489883978
55,-0.10139501110590447
56,0.09523042580715169
57,-0.01811630646189795
58,-0.02126694055705868
59,0.24819972881904803
60,-0.3241772756087121
61,-0.05057018277183532
62,-0.42168310443349855
63,-0.6220697899589833
64,-1.3276066248635978
65,0.9179299057103247
66,0.4390328642595269
67,-0.3290829451345483
68,0.5500450362827014
69,0.30207875529453715
70,0.40008775961742826
71,-0.02152918608751389
72,0.13419147672927106
73,-0.29320544973049856
74,0.10230458832950234
75,-0.6020869664866693
76,0.04393287384393352
77,-0.17604663824671263
78,0.33059275000786165
79,0.6579909693560114
80,-0.09467378114534653
81,0.055803932408999
82,0.07896342407456941
83,-0.24609429615229672
84,0.10253978350192641
85,-0.003971867205436041
86,-0.29798750494181014
87,0.39749000333907614
88,0.5146542209729543
89,-0.07579831075257404
90,0.24517621508682394
91,0.30792318504623617
92,0.11252828608270378
93,-0.04211771593441291
94,0.2140774972151706
95,-0.1925100100268536
96,-0.2928146517845606
97,0.09520816928038578
98,-0.10425656174430808
99,0.3445708235586979
