"idx","trade_diff","fxres_diff","exrate_diff"
"1",-0.146577415352613,32086.3810138889,0.165111574074082
"2",0.53731888685525,66728.0474398145,1.13546898148148
"3",-0.00149117231767448,59625.2684537037,0.574135648148143
"4",-0.0758432534189257,65695.1182685187,-0.389686111111111
"5",0.0963970405840975,6645.26504629618,0.161512500000008
"6",0.128300200298167,-8955.696627778,0.473172407407404
"7",-0.0404008994700362,-3559.83718749974,1.90703166666667
"8",-0.166591384159245,77920.4512226856,-0.899901759259265
"9",-0.0857808635448993,5014.01861111075,-0.645131481481471
"10",0.0799133608076428,9962.45861111116,1.88817731481481
"11",0.115543749397254,18421.7301851856,-0.0222009259259295
"12",-0.386656277136568,-15663.2050370374,1.40931018518518
"13",-0.127134848572853,41926.3810138889,0.574111574074081
"14",-0.417461422801361,-7601.95256018545,-1.77763101851852
"15",0.0802891112857491,39965.2684537037,0.183835648148147
"16",0.209559075372898,24045.1182685187,0.517713888888892
"17",0.357397668307323,325.265046296176,0.253212500000004
"18",-0.106114875217866,164.303372221999,-0.260927592592594
"19",-0.000277702459005269,-13029.8371874997,-0.545468333333332
"20",0.174609763758347,36400.4512226856,-0.657201759259266
"21",0.184696136983073,18944.0186111107,-0.00463148148146786
"22",0.197453751440374,2912.45861111116,2.0410773148148
"23",-0.233829326174854,16161.7301851856,-0.104700925925911
"24",-0.050918697929049,-29823.2050370374,-0.173889814814828
"25",-0.0420146998713751,-5703.61898611113,-1.34988842592593
"26",0.0957450644921565,-8751.95256018545,-1.39343101851851
"27",0.266921427959748,-41094.7315462963,-0.196464351851859
"28",0.00958383461246903,39965.1182685187,-0.264786111111107
"29",-0.00870595298108334,8025.26504629618,0.0316124999999943
"30",-0.186503308649554,40334.303372222,-0.437927592592587
"31",0.048368904465546,-2829.83718749974,-0.455668333333328
"32",-0.280707826234552,62050.4512226856,1.00429824074073
"33",0.431171073271285,74164.0186111107,-0.707131481481468
"34",0.0287770352132881,-28487.5413888888,-0.0448226851851956
"35",-0.0697256798568393,-4538.26981481444,-0.125800925925915
"36",0.0739981407699641,34266.7949629626,-0.184689814814824
"37",-0.232081098298476,82536.3810138889,1.14041157407407
"38",0.153307895981634,47508.0474398145,0.446468981481488
"39",0.0330238336527238,31185.2684537037,0.150635648148139
"40",0.100017084325131,36515.1182685187,2.0893138888889
"41",0.179605216389925,-58934.7349537038,0.962312499999996
"42",0.0444766818240137,18924.303372222,0.254172407407424
"43",-0.035005164398461,-33679.8371874997,1.92493166666665
"44",-0.128947091626543,120620.451222686,0.968998240740746
"45",0.184696908347568,89464.0186111107,1.63716851851852
"46",-0.0485622560027164,-72757.5413888888,-4.0397226851852
"47",-0.207776935430477,-108538.269814814,0.601499074074084
"48",0.0467714022330252,7546.79496296262,1.20931018518517
"49",-0.416929085470498,65766.3810138889,-0.112888425925917
"50",0.0970886808603186,12228.0474398145,-1.73683101851852
"51",0.394615370425528,25315.2684537037,0.882935648148134
"52",0.039681267311515,39235.1182685187,-0.198686111111101
"53",-0.0438638684781374,3245.26504629618,-2.08918750000001
"54",-0.151905176639108,5654.303372222,1.20257240740742
"55",0.00109807888422075,24759.4328125003,2.50793166666666
"56",-0.154179178289075,118759.261222686,-1.40910175925926
"57",-0.0165861663965803,48333.3586111106,-0.0019314814814777
"58",0.0871842732599415,52976.8686111113,1.21247731481481
"59",-0.0245459825254422,54533.3101851856,0.0150990740740866
"60",0.212889915768042,93192.0349629624,0.20391018518518
"61",-0.39422938078283,53938.0810138891,0.405011574074067
"62",0.0234912634859068,220582.637439814,3.7018689814815
"63",-0.346346803076315,28695.9184537036,-0.271764351851871
"64",-0.650758522527342,6133.24826851906,-0.407186111111102
"65",-1.61538834822079,148004.635046296,0.4911125
"66",1.98431185784686,33958.3833722221,-0.532127592592587
"67",0.417934570575602,192430.5728125,-1.57086833333334
"68",-1.02130582840713,-46269.1187773147,-0.132801759259266
"69",1.10848006953657,46846.298611111,0.0489685185185351
"70",0.117329512213713,225534.868611111,0.264177314814802
"71",0.426010479021061,37440.3001851849,-0.420700925925914
"72",-0.0786831968638122,18581.1849629637,-0.178689814814831
"73",-0.0923327641362537,-31344.5289861113,0.41441157407408
"74",0.04213728066585,-15781.3625601856,0.414268981481484
"75",0.132944994566317,-4495.25154629629,0.517635648148143
"76",-0.860921862918335,116163.138268519,-1.66978611111111
"77",0.400403180389711,51940.795046296,1.6641125
"78",0.0917989219558102,137312.293372222,0.264172407407415
"79",0.0835074606457731,41569.2328124996,-1.62726833333335
"80",0.657744143685179,102817.881222686,0.765998240740743
"81",-0.229035240238085,53390.7386111114,0.546768518518519
"82",0.16392701859608,45626.9986111103,0.456677314814812
"83",0.00492714519515935,-14288.619814815,-0.319400925925919
"84",-0.197968503440427,-57527.1250370368,0.633210185185177
"85",0.0980545210015631,4645.38101388887,0.245911574074086
"86",0.00645526914052397,98471.3074398153,0.824368981481484
"87",-0.0136583107789807,-205732.371546297,0.616235648148134
"88",0.207004452570619,-9235.76173148025,1.0722138888889
"89",0.0188838133834075,50624.2350462954,1.11761249999999
"90",0.138109163474954,-26013.5066277776,0.450572407407421
"91",-0.0318597910515255,-110319.437187499,0.15563166666665
"92",0.141205571867328,-106766.018777316,1.49729824074075
"93",-0.0560685862560497,-6518.77138888836,0.714768518518525
"94",-0.182886014090689,-19248.8113888893,-0.499922685185197
"95",0.0566072030695768,173948.960185185,1.65579907407408
"96",-0.304223991409742,99420.2649629638,-1.07918981481482
"97",-0.00641957539026983,49857.7310138885,0.668011574074086
"98",0.133400525877502,-91459.4425601857,0.0407689814814773
"99",-0.280060573045084,192462.068453704,-0.479764351851856
"100",0.45427828696076,87415.938268519,0.771613888888893
"101",-0.150264206570494,-10182.914953704,-0.794887500000002
"102",-0.0340923024092579,31343.3933722218,0.42797240740741
"103",0.233620751481604,39435.4528125003,0.0365316666666615
"104",-0.161355959824428,-6580.4387773145,0.0440982407407517
"105",0.397695988421599,-65392.3113888884,0.0847685185185156
"106",-0.35565977366881,50049.2286111098,0.377277314814805
"107",-0.126650274282618,91916.9801851856,0.365199074074084
"108",-0.117938991715739,119193.364962963,-0.199789814814821
"109",0.174969993355161,15159.2710138885,-0.430788425925925
"110",-0.238354114305309,31474.7674398152,0.963968981481486
"111",0.224875986549891,228486.608453703,0.134735648148137
"112",0.144134039993547,-47399.8217314808,-0.387586111111105
"113",-0.0441996966387084,83472.9450462954,-0.0950875000000053
"114",0.151630463118881,13313.8953722222,0.602572407407422
"115",0.312316236229767,156439.8778125,-0.266868333333335
"116",-0.318994691951211,155248.044222686,-0.41760175925927
"117",0.0498439634398409,122517.204611111,0.173368518518529
"118",0.206394440627008,-154360.687388889,0.704977314814812
"119",-0.427121808793418,-208850.139814815,1.59269907407408
"120",0.132339036469643,-85563.4210370369,0.986510185185182
"121",-0.47315130782137,123999.348013889,0.48431157407407
