,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,100
Month,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,
Unnamed 0,-0.5298255310151072,0.08791996026710902,0.42388894372609925,-0.11104678336761575,-0.20956591508292088,0.08274270286637149,0.11041916430532414,-0.06408109416710721,0.07135287430535665,-0.20152349283951732,0.385221622563067,-0.05887316181037301,-0.27842492780501865,0.36006086267201876,-0.17864696249239503,0.15688250785588076,0.348177429850342,0.06877491767111304,-0.44437500643607475,-0.12399631620126,,0.39698824495903995
